,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
42,2,Monaco,Monte-Carlo,,1955-05-22 00:00:00,Monaco Grand Prix,conventional,Practice 1,1955-05-20,Practice 2,1955-05-20,Practice 3,1955-05-21,Qualifying,1955-05-21,Race,1955-05-22 00:00:00,False,1955
43,3,USA,Indianapolis,,1955-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,1955-05-28,Practice 2,1955-05-28,Practice 3,1955-05-29,Qualifying,1955-05-29,Race,1955-05-30 00:00:00,False,1955
44,4,Belgium,Spa,,1955-06-05 00:00:00,Belgian Grand Prix,conventional,Practice 1,1955-06-03,Practice 2,1955-06-03,Practice 3,1955-06-04,Qualifying,1955-06-04,Race,1955-06-05 00:00:00,False,1955
45,5,Netherlands,Zandvoort,,1955-06-19 00:00:00,Dutch Grand Prix,conventional,Practice 1,1955-06-17,Practice 2,1955-06-17,Practice 3,1955-06-18,Qualifying,1955-06-18,Race,1955-06-19 00:00:00,False,1955
46,6,UK,Liverpool,,1955-07-16 00:00:00,British Grand Prix,conventional,Practice 1,1955-07-14,Practice 2,1955-07-14,Practice 3,1955-07-15,Qualifying,1955-07-15,Race,1955-07-16 00:00:00,False,1955
47,7,Italy,Monza,,1955-09-11 00:00:00,Italian Grand Prix,conventional,Practice 1,1955-09-09,Practice 2,1955-09-09,Practice 3,1955-09-10,Qualifying,1955-09-10,Race,1955-09-11 00:00:00,False,1955
48,1,Argentina,Buenos Aires,,1956-01-22 00:00:00,Argentine Grand Prix,conventional,Practice 1,1956-01-20,Practice 2,1956-01-20,Practice 3,1956-01-21,Qualifying,1956-01-21,Race,1956-01-22 00:00:00,False,1956
49,2,Monaco,Monte-Carlo,,1956-05-13 00:00:00,Monaco Grand Prix,conventional,Practice 1,1956-05-11,Practice 2,1956-05-11,Practice 3,1956-05-12,Qualifying,1956-05-12,Race,1956-05-13 00:00:00,False,1956
50,3,USA,Indianapolis,,1956-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,1956-05-28,Practice 2,1956-05-28,Practice 3,1956-05-29,Qualifying,1956-05-29,Race,1956-05-30 00:00:00,False,1956
51,4,Belgium,Spa,,1956-06-03 00:00:00,Belgian Grand Prix,conventional,Practice 1,1956-06-01,Practice 2,1956-06-01,Practice 3,1956-06-02,Qualifying,1956-06-02,Race,1956-06-03 00:00:00,False,1956
52,5,France,Reims,,1956-07-01 00:00:00,French Grand Prix,conventional,Practice 1,1956-06-29,Practice 2,1956-06-29,Practice 3,1956-06-30,Qualifying,1956-06-30,Race,1956-07-01 00:00:00,False,1956
53,6,UK,Silverstone,,1956-07-14 00:00:00,British Grand Prix,conventional,Practice 1,1956-07-12,Practice 2,1956-07-12,Practice 3,1956-07-13,Qualifying,1956-07-13,Race,1956-07-14 00:00:00,False,1956
54,7,Germany,Nürburg,,1956-08-05 00:00:00,German Grand Prix,conventional,Practice 1,1956-08-03,Practice 2,1956-08-03,Practice 3,1956-08-04,Qualifying,1956-08-04,Race,1956-08-05 00:00:00,False,1956
55,8,Italy,Monza,,1956-09-02 00:00:00,Italian Grand Prix,conventional,Practice 1,1956-08-31,Practice 2,1956-08-31,Practice 3,1956-09-01,Qualifying,1956-09-01,Race,1956-09-02 00:00:00,False,1956
56,1,Argentina,Buenos Aires,,1957-01-13 00:00:00,Argentine Grand Prix,conventional,Practice 1,1957-01-11,Practice 2,1957-01-11,Practice 3,1957-01-12,Qualifying,1957-01-12,Race,1957-01-13 00:00:00,False,1957
57,2,Monaco,Monte-Carlo,,1957-05-19 00:00:00,Monaco Grand Prix,conventional,Practice 1,1957-05-17,Practice 2,1957-05-17,Practice 3,1957-05-18,Qualifying,1957-05-18,Race,1957-05-19 00:00:00,False,1957
58,3,USA,Indianapolis,,1957-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,1957-05-28,Practice 2,1957-05-28,Practice 3,1957-05-29,Qualifying,1957-05-29,Race,1957-05-30 00:00:00,False,1957
59,4,France,Rouen,,1957-07-07 00:00:00,French Grand Prix,conventional,Practice 1,1957-07-05,Practice 2,1957-07-05,Practice 3,1957-07-06,Qualifying,1957-07-06,Race,1957-07-07 00:00:00,False,1957
60,5,UK,Liverpool,,1957-07-20 00:00:00,British Grand Prix,conventional,Practice 1,1957-07-18,Practice 2,1957-07-18,Practice 3,1957-07-19,Qualifying,1957-07-19,Race,1957-07-20 00:00:00,False,1957
61,6,Germany,Nürburg,,1957-08-04 00:00:00,German Grand Prix,conventional,Practice 1,1957-08-02,Practice 2,1957-08-02,Practice 3,1957-08-03,Qualifying,1957-08-03,Race,1957-08-04 00:00:00,False,1957
62,7,Italy,Pescara,,1957-08-18 00:00:00,Pescara Grand Prix,conventional,Practice 1,1957-08-16,Practice 2,1957-08-16,Practice 3,1957-08-17,Qualifying,1957-08-17,Race,1957-08-18 00:00:00,False,1957
63,8,Italy,Monza,,1957-09-08 00:00:00,Italian Grand Prix,conventional,Practice 1,1957-09-06,Practice 2,1957-09-06,Practice 3,1957-09-07,Qualifying,1957-09-07,Race,1957-09-08 00:00:00,False,1957
64,1,Argentina,Buenos Aires,,1958-01-19 00:00:00,Argentine Grand Prix,conventional,Practice 1,1958-01-17,Practice 2,1958-01-17,Practice 3,1958-01-18,Qualifying,1958-01-18,Race,1958-01-19 00:00:00,False,1958
65,2,Monaco,Monte-Carlo,,1958-05-18 00:00:00,Monaco Grand Prix,conventional,Practice 1,1958-05-16,Practice 2,1958-05-16,Practice 3,1958-05-17,Qualifying,1958-05-17,Race,1958-05-18 00:00:00,False,1958
66,3,Netherlands,Zandvoort,,1958-05-26 00:00:00,Dutch Grand Prix,conventional,Practice 1,1958-05-24,Practice 2,1958-05-24,Practice 3,1958-05-25,Qualifying,1958-05-25,Race,1958-05-26 00:00:00,False,1958
67,4,USA,Indianapolis,,1958-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,1958-05-28,Practice 2,1958-05-28,Practice 3,1958-05-29,Qualifying,1958-05-29,Race,1958-05-30 00:00:00,False,1958
68,5,Belgium,Spa,,1958-06-15 00:00:00,Belgian Grand Prix,conventional,Practice 1,1958-06-13,Practice 2,1958-06-13,Practice 3,1958-06-14,Qualifying,1958-06-14,Race,1958-06-15 00:00:00,False,1958
69,6,France,Reims,,1958-07-06 00:00:00,French Grand Prix,conventional,Practice 1,1958-07-04,Practice 2,1958-07-04,Practice 3,1958-07-05,Qualifying,1958-07-05,Race,1958-07-06 00:00:00,False,1958
70,7,UK,Silverstone,,1958-07-19 00:00:00,British Grand Prix,conventional,Practice 1,1958-07-17,Practice 2,1958-07-17,Practice 3,1958-07-18,Qualifying,1958-07-18,Race,1958-07-19 00:00:00,False,1958
71,8,Germany,Nürburg,,1958-08-03 00:00:00,German Grand Prix,conventional,Practice 1,1958-08-01,Practice 2,1958-08-01,Practice 3,1958-08-02,Qualifying,1958-08-02,Race,1958-08-03 00:00:00,False,1958
72,9,Portugal,Oporto,,1958-08-24 00:00:00,Portuguese Grand Prix,conventional,Practice 1,1958-08-22,Practice 2,1958-08-22,Practice 3,1958-08-23,Qualifying,1958-08-23,Race,1958-08-24 00:00:00,False,1958
73,10,Italy,Monza,,1958-09-07 00:00:00,Italian Grand Prix,conventional,Practice 1,1958-09-05,Practice 2,1958-09-05,Practice 3,1958-09-06,Qualifying,1958-09-06,Race,1958-09-07 00:00:00,False,1958
74,11,Morocco,Casablanca,,1958-10-19 00:00:00,Moroccan Grand Prix,conventional,Practice 1,1958-10-17,Practice 2,1958-10-17,Practice 3,1958-10-18,Qualifying,1958-10-18,Race,1958-10-19 00:00:00,False,1958
75,1,Monaco,Monte-Carlo,,1959-05-10 00:00:00,Monaco Grand Prix,conventional,Practice 1,1959-05-08,Practice 2,1959-05-08,Practice 3,1959-05-09,Qualifying,1959-05-09,Race,1959-05-10 00:00:00,False,1959
76,2,USA,Indianapolis,,1959-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,1959-05-28,Practice 2,1959-05-28,Practice 3,1959-05-29,Qualifying,1959-05-29,Race,1959-05-30 00:00:00,False,1959
77,3,Netherlands,Zandvoort,,1959-05-31 00:00:00,Dutch Grand Prix,conventional,Practice 1,1959-05-29,Practice 2,1959-05-29,Practice 3,1959-05-30,Qualifying,1959-05-30,Race,1959-05-31 00:00:00,False,1959
78,4,France,Reims,,1959-07-05 00:00:00,French Grand Prix,conventional,Practice 1,1959-07-03,Practice 2,1959-07-03,Practice 3,1959-07-04,Qualifying,1959-07-04,Race,1959-07-05 00:00:00,False,1959
79,5,UK,Liverpool,,1959-07-18 00:00:00,British Grand Prix,conventional,Practice 1,1959-07-16,Practice 2,1959-07-16,Practice 3,1959-07-17,Qualifying,1959-07-17,Race,1959-07-18 00:00:00,False,1959
80,6,Germany,Berlin,,1959-08-02 00:00:00,German Grand Prix,conventional,Practice 1,1959-07-31,Practice 2,1959-07-31,Practice 3,1959-08-01,Qualifying,1959-08-01,Race,1959-08-02 00:00:00,False,1959
81,7,Portugal,Lisbon,,1959-08-23 00:00:00,Portuguese Grand Prix,conventional,Practice 1,1959-08-21,Practice 2,1959-08-21,Practice 3,1959-08-22,Qualifying,1959-08-22,Race,1959-08-23 00:00:00,False,1959
82,8,Italy,Monza,,1959-09-13 00:00:00,Italian Grand Prix,conventional,Practice 1,1959-09-11,Practice 2,1959-09-11,Practice 3,1959-09-12,Qualifying,1959-09-12,Race,1959-09-13 00:00:00,False,1959
83,9,USA,Florida,,1959-12-12 00:00:00,United States Grand Prix,conventional,Practice 1,1959-12-10,Practice 2,1959-12-10,Practice 3,1959-12-11,Qualifying,1959-12-11,Race,1959-12-12 00:00:00,False,1959
84,1,Argentina,Buenos Aires,,1960-02-07 00:00:00,Argentine Grand Prix,conventional,Practice 1,1960-02-05,Practice 2,1960-02-05,Practice 3,1960-02-06,Qualifying,1960-02-06,Race,1960-02-07 00:00:00,False,1960
85,2,Monaco,Monte-Carlo,,1960-05-29 00:00:00,Monaco Grand Prix,conventional,Practice 1,1960-05-27,Practice 2,1960-05-27,Practice 3,1960-05-28,Qualifying,1960-05-28,Race,1960-05-29 00:00:00,False,1960
86,3,USA,Indianapolis,,1960-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,1960-05-28,Practice 2,1960-05-28,Practice 3,1960-05-29,Qualifying,1960-05-29,Race,1960-05-30 00:00:00,False,1960
87,4,Netherlands,Zandvoort,,1960-06-06 00:00:00,Dutch Grand Prix,conventional,Practice 1,1960-06-04,Practice 2,1960-06-04,Practice 3,1960-06-05,Qualifying,1960-06-05,Race,1960-06-06 00:00:00,False,1960
88,5,Belgium,Spa,,1960-06-19 00:00:00,Belgian Grand Prix,conventional,Practice 1,1960-06-17,Practice 2,1960-06-17,Practice 3,1960-06-18,Qualifying,1960-06-18,Race,1960-06-19 00:00:00,False,1960
89,6,France,Reims,,1960-07-03 00:00:00,French Grand Prix,conventional,Practice 1,1960-07-01,Practice 2,1960-07-01,Practice 3,1960-07-02,Qualifying,1960-07-02,Race,1960-07-03 00:00:00,False,1960
90,7,UK,Silverstone,,1960-07-16 00:00:00,British Grand Prix,conventional,Practice 1,1960-07-14,Practice 2,1960-07-14,Practice 3,1960-07-15,Qualifying,1960-07-15,Race,1960-07-16 00:00:00,False,1960
